MAC	# of days
FBOXB046FCA8697A	237
FBOXB046FCB1B4EC	240
FBOXB046FCB4F745	105
FBOXB046FCB6A3B3	68
FBOXB046FCB7B522	37
FBOXB046FCB73E78	11
FBOXB046FCA985DE	469
FBOXB046FCAC0AEC	358
FBOXB046FCACC3ED	356
FBOXB046FCAD31E2	286
FBOXB046FCB2D7BC	241
FBOXB046FCAF21D0	239
FBOXB046FCB25966	204
FBOXB046FCB2957A	200
FBOXB046FCA85FD5	167
FBOXB046FCB27CCF	108
FBOXB046FCB801FE	5
FBOXB046FCB6C967	6
FBOXB046FCA990D5	475
FBOXB046FCAB1843	413
FBOXB046FCAEEA3C	241
FBOXB046FCAEEA3D	241
FBOXB046FCB42492	167
FBOXB046FCB1AF25	167
FBOXB046FCB6B874	32
FBOXB046FCB7F289	34
FBOXB046FCB737D5	4
FBOXB046FCB844E2	5
FBOXB046FCB844E6	5
FBOXB046FCB844E1	5
FBOXB046FCAA0535	431
FBOXB046FCAB6D1D	409
FBOXB046FCB529C0	236
FBOXB046FCB16CD1	234
FBOXB046FCB3C5B5	199
FBOXB046FCB3FF26	131
FBOXB046FCB52912	103
FBOXB046FCB45BC6	100
FBOXB046FCAB71D6	4
FBOXB046FCB7ADAA	3
FBOXB046FCB362A1	8
FBOXB046FCA9854E	469
FBOXB046FCAB79CA	406
FBOXB046FCAC78C0	354
FBOXB046FCAE5CF4	283
FBOXB046FCADB497	283
FBOXB046FCB4F2FB	286
FBOXB046FCAF1309	236
FBOXB046FCB197D8	235
FBOXB046FCAEED3D	238
FBOXB046FCAB8096	240
FBOXB046FCB2E40B	198
FBOXB046FCB365E7	163
FBOXB046FCB31221	133
FBOXB046FCA7B936	853
FBOX001C5500DC3E	847
FBOXB046FCA92220	460
FBOXB046FCA97B98	459
FBOXB046FCAB698F	402
FBOXB046FCAE33A3	275
FBOXB046FCAEE8FB	276
FBOXB046FCAEE8BD	274
FBOXB046FCAEE128	272
FBOXB046FCB1AC40	230
FBOXB046FCB1DC62	194
FBOXB046FCB294DD	193
FBOXB046FCAEDC40	157
FBOXB046FCB454D8	160
FBOXB046FCB53BB1	97
FBOXB046FCB7FBC7	3
FBOXB046FCA7BE24	537
FBOX001C5500FD22	308
FBOXB046FCA98FDA	459
FBOXB046FCAC7D59	340
FBOXB046FCAE2F71	279
FBOXB046FCAD382B	281
FBOXB046FCAE378A	277
FBOXB046FCAB13E8	234
FBOXB046FCB2212B	195
FBOXB046FCB42CEB	163
FBOXB046FCB4A4DD	130
FBOXB046FCB4C552	132
FBOXB046FCA6A675	64
FBOXB046FCB3E53B	64
FBOXB046FCB71496	66
FBOXB046FCB85AAC	1
FBOX001C55007A16	923
FBOX001C55007E6E	917
FBOX001C55010145	551
FBOXB046FCABEB57	403
FBOXB046FCACB32C	350
FBOXB046FCACE1EB	348
FBOXB046FCACE1EE	348
FBOXB046FCB1E049	233
FBOXB046FCB1781C	234
FBOXB046FCB61A32	61
FBOXB046FCA981B6	0
FBOXB046FCA981B6	0
FBOXB046FCA990BC	827
FBOX001C55010495	542
FBOXB046FCAD12BE	332
FBOXB046FCAB8598	269
FBOXB046FCAC8658	269
FBOXB046FCB1D747	230
FBOXB046FCB21D6C	157
FBOXB046FCB6B03D	60
FBOXB046FCAB71D6	1
FBOX001C5500E838	784
FBOX001C5500F046	784
FBOXB046FCA6A4F6	538
FBOXB046FCAED4A6	222
FBOXB046FCB346D5	186
FBOXB046FCAB8824	151
FBOXB046FCB3BAE2	95
FBOXB046FCB8105C	26
FBOXB046FCB7B6C7	3
FBOXB046FCB84541	3
FBOXB046FCAB71D6	0
FBOXB046FCAA1635	456
FBOXB046FCAED662	334
FBOXB046FCB45F23	276
FBOXB046FCAEE1DE	271
FBOXB046FCB20EE1	230
FBOXB046FCB162EE	232
FBOXB046FCB1B1E1	229
FBOXB046FCB19FF0	229
FBOXB046FCB2B1C8	191
FBOXB046FCB2CC19	189
FBOXB046FCB32AF5	190
FBOXB046FCB46215	129
FBOXB046FCB520E6	95
FBOXB046FCB58D38	93
FBOXB046FCAAFC93	818
FBOXB046FCA98CC9	450
FBOXB046FCAA0C52	399
FBOXB046FCAA0C50	399
FBOXB046FCAC7A4A	331
FBOXB046FCAECB65	271
FBOXB046FCB1E4B3	230
FBOXB046FCB21103	229
FBOXB046FCB3BD02	96
FBOXB046FCB6A740	58
FBOXB046FCB74530	58
FBOXB046FCB52400	24
FBOX001C5500E702	794
FBOX001C5500E697	788
FBOXB046FCA989E3	446
FBOXB046FCB5E991	91
FBOX001c55007a12	60
FBOXB046FCB752E0	27
FBOXB046FCABE6F9	1
FBOXB046FCB34BD2	737
FBOX001C5500F3E5	719
FBOXB046FCA6A536	528
FBOXB046FCAA2453	440
FBOXB046FCABE140	393
FBOXB046FCA6A47B	393
FBOXB046FCB3FDF0	153
FBOX001C550087BA	755
FBOX001C5500D4F1	748
FBOXB046FCA7C76F	531
FBOXB046FCAA22CD	439
FBOXB046FCAB7467	391
FBOXB046FCAB1288	392
FBOXB046FCAC1A1E	319
FBOXB046FCAD1F48	321
FBOXB046FCAD4015	264
FBOXB046FCAD1389	262
FBOXB046FCB353D2	185
FBOXB046FCB2EA68	147
FBOXB046FCB2E04F	146
FBOXB046FCB42931	146
FBOXB046FCB58A31	87
FBOXB046FCB58987	88
FBOXB046FCB2BA1C	21
FBOX001C5500EFC6	745
FBOX001C5500EA40	742
FBOXB046FCB4EA8B	321
FBOXB046FCACB4CA	322
FBOX001C5500E8B7	265
FBOXB046FCAD363B	266
FBOXB046FCB1DF52	226
FBOXB046FCB2C5DB	186
FBOXB046FCB4DF3C	88
FBOXB046FCB6AD76	24
FBOXB046FCA7C928	435
FBOXB046FCAC0E69	388
FBOXB046FCA978F4	261
FBOXB046FCAECE4B	260
FBOXB046FCAE2B23	220
FBOXB046FCB24426	180
FBOXB046FCB30992	149
FBOXB046FCB5BD3B	86
FBOXB046FCA7B749	519
FBOXB046FCAA283F	434
FBOXB046FCAF1CA6	264
FBOXB046FCB1BB23	223
FBOXB046FCB3E30E	146
FBOXB046FCB52960	84
FBOX001C5500F923	622
FBOX001C5500CC36	612
FBOXB046FCA9250B	501
FBOXB046FCAA0566	431
FBOXB046FCAC192D	380
FBOXB046FCAB8FFE	214
FBOXB046FCB44F24	145
FBOXB046FCB51BE3	84
FBOXB046FCB6A79A	51
FBOXB046FCB79EC6	16
FBOX001C5500F147	681
FBOXB046FCA7C2C1	520
FBOXB046FCAA2000	433
FBOXB046FCAA1FFE	433
FBOXB046FCAA2010	433
FBOXB046FCAA0FBC	432
FBOXB046FCB198E2	387
FBOXB046FCAB675B	385
FBOXB046FCAB0310	183
FBOXB046FCA7C881	490
FBOXB046FCA7C381	487
FBOXB046FCAB0983	422
FBOXB046FCAAF9A6	419
FBOXB046FCAEE755	373
FBOXB046FCAC0A40	373
FBOXB046FCA86066	302
FBOXB046FCAEE08F	249
FBOXB046FCB6BFB0	48
FBOXB046FCB7E768	17
FBOXB046FCB7ADEF	16
FBOXB046FCB79541	18
FBOX001C5500E887	628
FBOXB046FCAC1444	382
FBOXB046FCAA1959	385
FBOXB046FCAEEFB4	256
FBOXB046FCAD8F0F	256
FBOXB046FCB35730	182
FBOXB046FCB278EC	182
FBOXB046FCB2D2EC	182
FBOXB046FCB355DC	146
FBOXB046FCABE3DA	123
FBOXB046FCB4A231	123
FBOXB046FCB5E50A	85
FBOXB046FCA86596	493
FBOXB046FCAC0DBE	375
FBOXB046FCAC0DC1	375
FBOXB046FCAC1A85	379
FBOXB046FCB4DF48	254
FBOXB046FCAEE9C0	118
FBOXB046FCB4D335	116
FBOXB046FCB2E744	80
FBOXB046FCB7A227	15
FBOXB046FCAB90AE	13
FBOXB046FCA92429	498
FBOXB046FCA6AE59	499
FBOXB046FCA922EB	498
FBOXB046FCA92510	496
FBOXB046FCAB1379	377
FBOXB046FCACE6E2	309
FBOXB046FCAC7D75	305
FBOXB046FCB1A218	255
FBOXB046FCAF24EF	253
FBOXB046FCB23678	219
FBOXB046FCB20666	214
FBOXB046FCB46A7E	146
FBOXB046FCB5DCD0	84
FBOXB046FCB7DC11	18
FBOXB046FCAD1AC0	18
FBOXB046FCB7D706	16
FBOXB046FCAC86D9	374
FBOXB046FCACEB72	365
FBOXB046FCAEE072	284
FBOXB046FCACB090	332
FBOXB046FCB25A46	227
FBOXB046FCA6ABCA	616
FBOXB046FCAAF6FB	434
FBOXB046FCA7C117	499
FBOXB046FCAA5FF0	438
FBOXB046FCA6AA28	435
FBOXB046FCAB73F3	435
FBOXB046FCAB8017	386
FBOXB046FCAB8AE1	386
FBOX001C5500F183	386
FBOXB046FCB3BF9E	386
FBOXB046FCAB10CD	386
FBOXB046FCADC72A	312
FBOXB046FCB26164	264
FBOXB046FCB3F3E3	189
FBOXB046FCB29295	188
FBOXB046FCB378D9	156
FBOXB046FCB3B9D8	154
FBOXB046FCB58C1B	89
FBOXB046FCB81B05	31
FBOX001c5500f793	510
FBOXB046FCAA0A6F	444
FBOXB046FCAAFFAA	440
FBOXB046FCAAFC8F	444
FBOXB046FCAAFA7E	438
FBOXB046FCB2B26F	439
FBOXB046FCAC18B3	392
FBOXB046FCAC0925	392
FBOXB046FCAD8739	314
FBOXB046FCAED6A1	261
FBOXB046FCB3C35B	155
FBOXB046FCB691D5	94
FBOXB046FCB73DE4	61
FBOXB046FCA7C5B3	976
FBOX001C55008749	965
FBOXB046FCA97AA1	485
FBOXB046FCAB8B9F	372
FBOXB046FCAD0D5E	300
FBOXB046FCB26405	184
FBOXB046FCB433BA	185
FBOXB046FCAD9CD7	154
FBOXB046FCB691EB	54
FBOXB046FCB78FCD	54
FBOXB046FCA6A891	622
FBOX001C5500DF19	621
FBOXB046FCAA22C9	447
FBOXB046FCAED1D5	320
FBOXB046FCB6C742	269
FBOXB046FCAF259E	268
FBOXB046FCB5DD22	59
FBOXB046FCB8AA7A	30
FBOXB046FCB58B44	29
FBOX001C550080DA	1046
FBOXB046FCACA8AD	386
FBOXB046FCAB8D4E	383
FBOXB046FCAA2645	382
FBOXB046FCADBEAB	224
FBOXB046FCB34FAC	186
FBOXB046FCB53AE1	123
FBOXB046FCAC187B	383
FBOXB046FCAD7B3E	309
FBOXB046FCA7C1DD	23
FBOXB046FCAAFCB6	428
FBOXB046FCAAFCB4	428
FBOXB046FCAAFCB5	428
FBOXB046FCAAFCB7	428
FBOXB046FCAAFCAB	428
FBOXB046FCAAFCB3	428
FBOXB046FCACAB49	376
FBOXB046FCABEB60	374
FBOXB046FCAC0AEA	373
FBOXB046FCB352FA	259
FBOXB046FCAD12E8	182
FBOXB046FCB3E0E8	184
FBOXB046FCB3B310	122
FBOXB046FCB3F609	25
FBOX001C550083FE	1006
FBOX001C550083BE	1002
FBOXB046FCAB1D9D	379
FBOXB046FCAD3022	308
FBOXB046FCAD3427	304
FBOXB046FCADB4D9	307
FBOXB046FCAD9053	261
FBOXB046FCB2B2C9	218
FBOXB046FCB2C694	183
FBOXB046FCAD87B6	152
FBOXB046FCB53964	123
FBOXB046FCB60A77	88
FBOXB046FCB7A3A6	51
FBOX001C550106FF	576
FBOXB046FCAB1BB3	482
FBOXB046FCAB09A5	421
FBOXB046FCACA0F0	370
FBOXB046FCACA083	373
FBOXB046FCACB52F	373
FBOXB046FCACA1CF	373
FBOXB046FCADDC72	300
FBOXB046FCACC783	300
FBOXB046FCB19D09	300
FBOXB046FCB2BC86	214
FBOXB046FCA86C10	211
FBOXB046FCB2C8B1	216
FBOXB046FCB35B95	178
FBOXB046FCB3FE60	118
FBOXB046FCB7E687	22
FBOXB046FCB7970A	22
FBOXB046FCB79951	25
FBOX001C5500802D	988
FBOXB046FCA9829E	488
FBOXB046FCA97F1E	488
FBOXB046FCAA27B9	399
FBOXB046FCACB3E2	372
FBOXB046FCAC8319	373
FBOXB046FCACAE3B	371
FBOXB046FCACA4BD	374
FBOXB046FCB4D4E1	369
FBOXB046FCB4267B	178
FBOXB046FCB6C637	20
FBOXB046FCB7BA9C	20
FBOXB046FCB5840B	22
FBOXB046FCAA1C39	430
FBOXB046FCAB0529	427
FBOXB046FCAB024C	429
FBOXB046FCAB14B5	431
FBOXB046FCAB69CC	379
FBOXB046FCAC8B1E	377
FBOXB046FCAE5743	305
FBOXB046FCAE58F6	304
FBOXB046FCB2C8DB	216
FBOXB046FCB25C0F	216
FBOXB046FCB3092C	215
FBOXB046FCB4D9F4	117
FBOXB046FCB6109E	81
FBOXB046FCB76A43	51
FBOXB046FCB71974	49
FBOXB046FCB80E3F	19
FBOXB046FCB2E176	958
FBOXB046FCAB8081	422
FBOXB046FCACB593	367
FBOXB046FCB201F0	298
FBOXB046FCB4A46B	146
FBOX001C5500DD53	876
FBOXB046FCA98934	470
FBOXB046FCAB6DB4	418
FBOXB046FCAB6DB5	418
FBOXB046FCAB1822	417
FBOXB046FCB23043	215
FBOXB046FCB3BEAE	175
FBOXB046FCB7FE59	20
FBOXB046FCB84DCC	17
FBOXB046FCB60B8F	418
FBOXB046FCAE59AE	293
FBOXB046FCAE5418	292
FBOXB046FCACBB5A	293
FBOXB046FCB1D66A	245
FBOXB046FCB3B3AF	174
FBOXB046FCB3A3C3	174
FBOXB046FCB6C04D	80
FBOXB046FCB6AFAE	80
FBOXB046FCB361F3	80
FBOXB046FCB6A855	80
FBOXB046FCB6A848	80
FBOXB046FCA99B0C	476
FBOXB046FCAA13EB	420
FBOXB046FCB276E7	355
FBOXB046FCAC1202	355
FBOXB046FCAD1AB7	353
FBOXB046FCB1E240	253
FBOXB046FCB28D67	210
FBOXB046FCB32C23	174
FBOXB046FCB6A876	77
FBOXB046FCB82219	16
FBOXB046FCA6A27E	406
FBOXB046FCAA1C74	417
FBOXB046FCAB66B7	421
FBOXB046FCACBAFE	366
FBOXB046FCAB18BF	367
FBOXB046FCAB19A2	367
FBOXB046FCACE08A	357
FBOXB046FCB16317	208
FBOXB046FCB1DC68	210
FBOXB046FCB285DA	115
FBOXB046FCB5372F	112
FBOXB046FCB4EF62	114
FBOXB046FCB60DBB	78
FBOX001C5500D812	860
FBOX001C5500D7FE	860
FBOXB046FCAB6705	414
FBOXB046FCACE8AB	354
FBOXB046FCACC16F	350
FBOXB046FCACC09D	352
FBOXB046FCACBF4B	351
FBOXB046FCACBE6B	350
FBOXB046FCB195DB	246
FBOXB046FCB1B80A	244
FBOXB046FCB17C1C	173
FBOX001C5500DCA3	846
FBOX001C5500F551	559
FBOXB046FCAA2340	413
FBOXB046FCAB824A	347
FBOXB046FCAEDEBF	288
FBOXB046FCAF2311	242
FBOXB046FCB28077	205
FBOXB046FCB52831	112
FBOXB046FCB83C3E	14
FBOXB046FCAEE129	411
FBOXB046FCB28C1C	346
FBOXB046FCACDBD9	341
FBOXB046FCB16495	283
FBOXB046FCB209E8	242
FBOXB046FCB5E764	76
FBOXB046FCB7362F	42
FBOXB046FCA6B160	17
FBOXB046FCB80D20	13
FBOX001C5500E7E8	828
FBOXB046FCA99179	463
FBOXB046FCA977C7	463
FBOXB046FCAC13BA	341
FBOXB046FCAE5502	285
FBOXB046FCAD0E9C	281
FBOXB046FCB15A8C	280
FBOXB046FCB16135	286
FBOXB046FCB15A90	279
FBOXB046FCAEE666	244
FBOXB046FCB52514	111
FBOXB046FCB69FB1	72
FBOXB046FCB5C992	74
FBOXB046FCB69ECD	18
FBOXB046FCB81814	17
FBOX001C5500F258	549
FBOXB046FCAA0398	460
FBOXB046FCAA2258	459
FBOXB046FCA6A5C9	462
FBOXB046FCABE0A4	412
FBOXB046FCAD38EB	338
FBOXB046FCA9883F	338
FBOXB046FCADBF73	281
FBOXB046FCB16FB9	241
FBOXB046FCB19AF2	140
FBOXB046FCB58944	104
FBOXB046FCB713E8	40
FBOXB046FCB7A343	39
FBOXB046FCB74D49	14
FBOXB046FCB7C823	11
FBOXB046FCAA1E6F	452
FBOXB046FCAEC9A5	454
FBOXB046FCAD8ACE	331
FBOXB046FCAF18EA	278
FBOXB046FCAF1ACF	196
FBOXB046FCB1AC16	196
FBOXB046FCB74E3F	14
FBOX001C5500E658	737
FBOX001C5500EAA1	738
FBOXB046FCA6A9BB	541
FBOXB046FCAB6BD0	407
FBOXB046FCABED6D	405
FBOXB046FCB15B0A	280
FBOXB046FCAE3315	279
FBOXB046FCB21CE0	236
FBOXB046FCB19C0E	237
FBOXB046FCB44BC8	166
FBOXB046FCABE1C2	141
FBOXB046FCB4941D	143
FBOXB046FCB79AB3	41
FBOXB046FCB75FD3	41
FBOXB046FCB75FD0	41
FBOXB046FCB6C622	14
FBOX001C5500EF69	773
FBOXB046FCAA0830	459
FBOXB046FCAB1A30	409
FBOXB046FCB200C2	242
FBOXB046FCB5E460	107
FBOXB046FCB5B869	105
FBOXB046FCB57EE8	106
FBOXB046FCB58423	69
FBOXB046FCB81C69	39
FBOX001C5500DF3B	753
FBOXB046FCB69AAC	458
FBOXB046FCAA1621	455
FBOXB046FCAA243F	457
FBOXB046FCB27444	455
FBOXB046FCB58E08	105
FBOXB046FCB3E248	105
FBOXB046FCB7D701	39
FBOXB046FCB7D62D	35
FBOX001C5500FCF9	653
FBOXB046FCAB8AC6	400
FBOXB046FCAB8AC5	400
FBOXB046FCAB15E8	400
FBOXB046FCB24013	200
FBOXB046FCB7DA23	0
FBOX001c5500f793	0
FBOXB046FCA6A6F0	610
FBOX001C5500FCEC	510
FBOXB046FCAF2161	511
FBOXB046FCA6AB58	509
FBOXB046FCAA22CA	447
FBOXB046FCACE1C8	321
FBOXB046FCACE1CA	321
FBOXB046FCB3572B	192
FBOXB046FCB16623	156
FBOXB046FCB4957D	134
FBOXB046FCAB1E65	97
FBOXB046FCB62075	66
FBOXB046FCA7BE63	287
FBOXB046FCAAFEC9	450
FBOXB046FCAA1229	447
FBOXB046FCAB07F9	404
FBOXB046FCAB6C9F	402
FBOXB046FCABEAD3	399
FBOXB046FCAB83C7	398
FBOXB046FCAECD0B	273
FBOXB046FCAB0DD8	194
FBOXB046FCAEED1E	194
FBOXB046FCB31E18	193
FBOXB046FCB4A233	137
FBOXB046FCB3C318	134
FBOXB046FCB3BBCA	70
FBOXB046FCB6C6A4	68
FBOXB046FCB70C6F	65
FBOXB046FCB7E927	0
FBOX001C5500D958	670
FBOXB046FCAB8ABF	399
FBOXB046FCB2DD4E	324
FBOXB046FCADBE15	276
FBOXB046FCB172EA	274
FBOXB046FCB4D5A9	136
FBOXB046FCB4D5A5	136
FBOXB046FCB17E8F	135
FBOXB046FCB61B5D	64
FBOXB046FCB7A453	32
FBOXB046FCB85E0E	1
FBOXB046FCB74DDD	1
FBOXB046FCB856DA	2
FBOXB046FCA6B145	601
FBOXB046FCA6ADC5	595
FBOXB046FCA6A61F	594
FBOXB046FCA95E67	503
FBOXB046FCAAFE37	442
FBOXB046FCAD834B	316
FBOXB046FCAD3FD5	321
FBOXB046FCAD839E	314
FBOXB046FCAE28DF	271
FBOXB046FCB38832	157
FBOXB046FCB46057	130
FBOXB046FCB5E990	97
FBOXB046FCB3181C	63
FBOXB046FCAD14C1	61
FBOXB046FCB74C3F	64
FBOXB046FCB79F3B	31
FBOXB046FCA7BFFC	448
FBOXB046FCAC1567	398
FBOXB046FCAB1430	396
FBOXB046FCAB8E0E	325
FBOXB046FCAF190C	269
FBOXB046FCB3F2E7	190
FBOXB046FCB17819	131
FBOXB046FCB6DA31	62
FBOX001C5500DB73	606
FBOXB046FCA6B0BD	603
FBOXB046FCA6AD0E	603
FBOXB046FCA86246	508
FBOXB046FCA9836E	437
FBOXB046FCAC0966	385
FBOXB046FCAC0965	385
FBOXB046FCAC095E	385
FBOXB046FCAC1419	314
FBOXB046FCAEEE43	265
FBOXB046FCAEEE38	265
FBOXB046FCB53321	268
FBOXB046FCB19DCA	268
FBOXB046FCAD9469	225
FBOXB046FCAD905C	192
FBOXB046FCB4BFBA	132
FBOXB046FCB613A2	93
FBOXB046FCB3093B	94
FBOXB046FCB3F319	95
FBOXB046FCB4EA72	95
FBOX001C550081A7	1054
FBOXB046FCA97A77	508
FBOXB046FCA863C9	506
FBOXB046FCA86AE2	504
FBOXB046FCA98014	504
FBOXB046FCAB02A5	444
FBOXB046FCAC8791	396
FBOXB046FCAD79F7	322
FBOXB046FCAD9837	323
FBOXB046FCAE32AB	273
FBOXB046FCB2C5AF	229
FBOXB046FCB3690D	196
FBOXB046FCB81210	35
FBOXB046FCB7E270	0
FBOXB046FCB7470A	2
FBOXB046FCB6BAAD	0
FBOXB046FCA6AA45	604
FBOXB046FCA6AF7A	602
FBOXB046FCA7C5EF	512
FBOXB046FCA7C5EE	507
FBOX001C5500FA21	513
FBOXB046FCAB6F25	446
FBOXB046FCAAFBF8	444
FBOXB046FCAB794F	443
FBOXB046FCAA1546	446
FBOXB046FCAC8C6B	396
FBOXB046FCB46AB8	393
FBOXB046FCAC1C32	395
FBOXB046FCAB87C0	393
FBOXB046FCAD30CE	321
FBOXB046FCAD907F	322
FBOXB046FCABE92C	318
FBOXB046FCAD9839	315
FBOXB046FCAEDE28	268
FBOXB046FCAEDE27	268
FBOXB046FCB539F8	135
FBOXB046FCB360D3	136
FBOXB046FCB6CDDF	2
FBOXB046FCACE68D	0
FBOXB046FCA6A58E	622
FBOXB046FCACA216	447
FBOXB046FCAB0197	445
FBOXB046FCAC0EE5	399
FBOXB046FCABEDED	400
FBOXB046FCABEDE3	400
FBOXB046FCABEDEA	400
FBOXB046FCB28316	396
FBOXB046FCADD629	324
FBOXB046FCAF207B	276
FBOXB046FCB294F0	236
FBOXB046FCA97D1D	231
FBOXB046FCB4BCC8	133
FBOXB046FCB7872E	66
FBOXB046FCB712D0	63
FBOXB046FCB6C927	37
FBOXB046FCB7C0D4	33
FBOXB046FCB3DAD2	595
FBOXB046FCA95E92	492
FBOXB046FCAB0C81	434
FBOXB046FCAB1765	432
FBOXB046FCAAFC68	386
FBOXB046FCACA75F	387
FBOXB046FCACAC82	386
FBOXB046FCAD33A8	310
FBOXB046FCAEE717	268
FBOXB046FCB2D613	193
FBOXB046FCB30AB5	191
FBOXB046FCB2E8F4	195
FBOXB046FCB532A5	131
FBOXB046FCB5BA19	95
FBOXB046FCB6DA5C	31
FBOX001C55007B29	1056
FBOXB046FCA98277	506
FBOXB046FCA86C3D	505
FBOXB046FCAA1694	442
FBOXB046FCAC7F24	394
FBOXB046FCAC7F26	394
FBOXB046FCAC11E9	390
FBOXB046FCA86E0E	387
FBOXB046FCAE6097	319
FBOXB046FCAB6AFF	271
FBOXB046FCADB26C	229
FBOXB046FCB17A83	195
FBOXB046FCB2E8EB	190
FBOXB046FCB78E96	60
FBOXB046FCB793B8	32
FBOXB046FCB7985E	30
FBOXB046FCA8693E	512
FBOXB046FCA86C5A	511
FBOXB046FCAA2872	439
FBOXB046FCABEAC8	384
FBOXB046FCAC8860	386
FBOXB046FCAD3323	314
FBOXB046FCB17EA0	265
FBOXB046FCB4718A	156
FBOXB046FCAB1ADD	131
FBOXB046FCB7BB55	35
FBOXB046FCB7E5DE	31
FBOXB046FCB81409	30
FBOXB046FCB620EE	31
FBOXB046FCA98079	494
FBOXB046FCAB759B	438
FBOXB046FCAB8538	381
FBOXB046FCB175D7	267
FBOXB046FCA7B99A	266
FBOXB046FCB2B5BC	225
FBOXB046FCB280BF	225
FBOXB046FCB38A00	186
FBOXB046FCAA0632	130
FBOXB046FCB4A22B	33
FBOXB046FCB7E550	30
FBOXB046FCA6A094	504
FBOXB046FCAA0430	437
